Date/Clock time,45695.4,,,,,,,,
Tester,"Arik, Cameron",,,,,,,,
Specimen designation,316H-elg_320MPa_550C_02,,,,,,,,
Diameter,6.0475,mm,,,,,,,
Material,316H-elg,,,,,,,,
Load cell,100kN,,,,,,,,
Extensometer,Epsilon 3549 SN102121 GL25mm,,,,,,,,
"Gage length, standard travel",25,mm,,,,,,,
Test standard,ASTM E136,,,,,,,,
Machine data,ZwickRoell Kappa100 SS-CF,,,,,,,,
Time,Test time,Standard travel,Standard force,Temperature,Temperature 3,,,,
h,h,%,MPa,°C,°C,,,,
3.81703,0.000891667,0.013176,13.6776,550.023,550.319,,,,
3.81706,0.000919444,0.0143049,14.0313,550.023,550.319,,,,
3.81708,0.000947222,0.0138144,14.3849,550.023,550.319,,,,
3.81711,0.000975,0.0136335,14.736,550.023,550.319,,,,
3.81714,0.00100278,0.0148055,15.0946,550.023,550.319,,,,
3.81717,0.00103333,0.0148712,15.4709,550.023,550.324,,,,
3.8172,0.00106389,0.015046,15.852,550.023,550.324,,,,
3.81723,0.00109444,0.0155913,16.2261,550.023,550.324,,,,
3.81726,0.001125,0.0163506,16.6077,550.025,550.324,,,,
3.81729,0.00115556,0.0171726,16.9694,550.025,550.324,,,,
3.81732,0.00118611,0.017905,17.3239,550.025,550.324,,,,
3.81735,0.00121667,0.0183172,17.6842,550.025,550.324,,,,
3.81738,0.00124722,0.0185428,18.0364,550.025,550.324,,,,
3.81741,0.00127778,0.0185309,18.3995,550.025,550.324,,,,
3.81744,0.00130833,0.0187239,18.753,550.025,550.338,,,,
3.81747,0.00133889,0.0189863,19.1178,550.025,550.338,,,,
3.81751,0.00137222,0.0202081,19.4738,550.025,550.338,,,,
3.81754,0.00140278,0.0205167,19.8425,550.027,550.338,,,,
3.81757,0.00143611,0.0205123,20.1928,550.027,550.338,,,,
3.8176,0.00146667,0.0211094,20.5447,550.027,550.338,,,,
3.81764,0.00150278,0.0213801,20.9228,550.027,550.338,,,,
3.81767,0.00153889,0.0219405,21.2937,550.027,550.338,,,,
3.81771,0.001575,0.0225985,21.6625,550.027,550.338,,,,
3.81775,0.00161111,0.0234191,22.0138,550.027,550.326,,,,
3.81779,0.00165,0.0236395,22.3786,550.027,550.326,,,,
3.81782,0.00168889,0.0241651,22.7334,550.033,550.326,,,,
3.81786,0.00172778,0.0250955,23.0993,550.033,550.326,,,,
3.8179,0.00176667,0.0255771,23.4554,550.033,550.326,,,,
3.81794,0.00180833,0.0260668,23.8309,550.033,550.326,,,,
3.81798,0.00184722,0.0268705,24.1971,550.033,550.326,,,,
3.81802,0.00188611,0.0272771,24.5686,550.033,550.317,,,,
3.81806,0.001925,0.0275683,24.9378,550.033,550.317,,,,
3.8181,0.00196111,0.0281843,25.3031,550.042,550.317,,,,
3.81813,0.00199722,0.0288167,25.6745,550.042,550.317,,,,
3.81817,0.00203056,0.0290203,26.0355,550.042,550.317,,,,
3.8182,0.00206389,0.0296148,26.4129,550.042,550.317,,,,
