Date/Clock time,45695.4,,,,,,,,
Tester,"Arik, Cameron",,,,,,,,
Specimen designation,316H-elg_320MPa_550C_02,,,,,,,,
Diameter,6.0475,mm,,,,,,,
Material,316H-elg,,,,,,,,
Load cell,100kN,,,,,,,,
Extensometer,Epsilon 3549 SN102121 GL25mm,,,,,,,,
"Gage length, standard travel",25,mm,,,,,,,
Test standard,ASTM E136,,,,,,,,
Machine data,ZwickRoell Kappa100 SS-CF,,,,,,,,
Time,Test time,Standard travel,Standard force,Temperature,Temperature 3,,,,
h,h,%,MPa,°C,°C,,,,
3.91985,0.103714,4.93386,251.529,549.971,550.488,,,,
3.92005,0.103917,4.94763,251.88,549.971,550.501,,,,
3.92022,0.104086,4.95985,252.232,549.957,550.501,,,,
3.9204,0.104264,4.97054,252.582,549.969,550.513,,,,
3.92055,0.104417,4.97876,252.934,549.969,550.518,,,,
3.92074,0.104603,4.98706,253.283,549.974,550.518,,,,
3.9209,0.104764,4.993,253.635,549.979,550.522,,,,
3.92112,0.104981,5.00045,253.985,549.979,550.513,,,,
3.92135,0.105211,5.00586,254.336,549.98,550.513,,,,
3.92173,0.105594,5.01451,254.686,549.998,550.524,,,,
3.92209,0.105958,5.0193,255.035,549.993,550.525,,,,
3.92234,0.106206,5.02184,255.385,549.992,550.533,,,,
3.92249,0.106358,5.02336,255.738,549.992,550.54,,,,
3.92262,0.106481,5.02403,256.089,549.992,550.54,,,,
3.92291,0.106775,5.02513,256.439,550,550.54,,,,
3.92301,0.106869,5.02643,256.799,550,550.54,,,,
3.92307,0.106936,5.02725,257.152,550,550.542,,,,
3.92314,0.107,5.02836,257.515,550.003,550.542,,,,
3.92321,0.107069,5.02991,257.863,550.003,550.542,,,,
3.92333,0.107192,5.0365,257.475,550.003,550.546,,,,
3.92334,0.107206,5.03831,257.117,550.003,550.546,,,,
3.92335,0.107217,5.04012,256.765,550.003,550.546,,,,
3.92336,0.107228,5.04164,256.373,550.003,550.546,,,,
3.92337,0.107239,5.04371,255.967,550.003,550.546,,,,
3.92339,0.10725,5.04533,255.575,550.003,550.546,,,,
3.9234,0.107261,5.0472,255.216,550.003,550.546,,,,
3.92341,0.107275,5.04935,254.827,550.013,550.546,,,,
3.92343,0.107292,5.05155,254.454,550.013,550.546,,,,
3.92345,0.107314,5.0544,254.094,550.013,550.546,,,,
3.92349,0.10735,5.05817,253.743,550.013,550.546,,,,
3.9239,0.107764,5.09119,254.092,550.013,550.564,,,,
3.92413,0.107994,5.10936,254.445,550.013,550.564,,,,
3.92431,0.108175,5.12221,254.795,550.012,550.563,,,,
3.92451,0.108372,5.13408,255.144,550.034,550.556,,,,
3.92467,0.108533,5.14341,255.496,550.034,550.556,,,,
3.92486,0.108725,5.15264,255.845,550.022,550.568,,,,
3.92502,0.108883,5.15977,256.193,550.022,550.578,,,,
3.92521,0.109075,5.16605,256.542,550.029,550.578,,,,
3.92537,0.109233,5.17037,256.893,550.034,550.577,,,,
3.9256,0.109461,5.17437,257.244,550.034,550.578,,,,
3.92581,0.109675,5.17658,257.595,550.038,550.589,,,,
3.92614,0.11,5.17812,257.944,550.034,550.605,,,,
3.92638,0.110244,5.17856,258.294,550.044,550.608,,,,
3.92657,0.110431,5.17905,258.646,550.04,550.608,,,,
3.92675,0.110617,5.18028,258.995,550.053,550.606,,,,
3.92691,0.110775,5.18117,259.347,550.053,550.606,,,,
3.92702,0.110883,5.18184,259.703,550.054,550.614,,,,
3.92735,0.111214,5.18214,260.056,550.063,550.613,,,,
3.92742,0.111286,5.18251,260.405,550.063,550.613,,,,
3.92747,0.111339,5.18281,260.762,550.063,550.617,,,,
3.92752,0.111389,5.18354,261.126,550.063,550.617,,,,
3.92757,0.111436,5.1839,261.485,550.073,550.617,,,,
3.92762,0.111489,5.18473,261.847,550.073,550.617,,,,
3.92768,0.111547,5.18568,262.198,550.073,550.617,,,,
3.92782,0.111686,5.19278,261.812,550.073,550.622,,,,
3.92784,0.1117,5.19481,261.421,550.066,550.622,,,,
3.92785,0.111711,5.19638,261.036,550.066,550.622,,,,
3.92786,0.111722,5.19818,260.625,550.066,550.622,,,,
3.92787,0.111733,5.20008,260.216,550.066,550.622,,,,
3.92788,0.111744,5.20171,259.84,550.066,550.622,,,,
3.92789,0.111758,5.20406,259.42,550.066,550.622,,,,
3.92791,0.111772,5.20612,259.066,550.066,550.622,,,,
3.92793,0.111792,5.2087,258.684,550.066,550.622,,,,
3.92796,0.111819,5.21183,258.31,550.066,550.622,,,,
3.92841,0.112269,5.24906,258.658,550.07,550.631,,,,
3.92864,0.1125,5.26791,259.009,550.07,550.637,,,,
3.92892,0.112781,5.29261,259.358,550.076,550.638,,,,
3.92936,0.113219,5.33015,259.709,550.074,550.648,,,,
3.93024,0.114103,5.41238,260.061,550.093,550.656,,,,
3.9305,0.114361,5.43438,260.413,550.083,550.653,,,,
3.93067,0.114539,5.44997,260.766,550.098,550.654,,,,
3.93085,0.114714,5.46453,261.117,550.098,550.657,,,,
3.93102,0.114886,5.47833,261.467,550.11,550.657,,,,
3.93117,0.115039,5.49009,261.818,550.103,550.669,,,,
3.93137,0.115236,5.50468,262.167,550.103,550.682,,,,
3.93156,0.115425,5.51759,262.519,550.117,550.682,,,,
3.93182,0.115681,5.53446,262.867,550.117,550.679,,,,
3.93217,0.116039,5.55347,263.218,550.12,550.683,,,,
3.93248,0.116342,5.56459,263.569,550.125,550.689,,,,
3.93275,0.116611,5.5706,263.919,550.128,550.695,,,,
3.93304,0.1169,5.57426,264.269,550.129,550.696,,,,
3.93332,0.117181,5.577,264.62,550.149,550.698,,,,
3.93354,0.117403,5.57695,264.969,550.143,550.698,,,,
3.93381,0.117669,5.57776,265.321,550.138,550.698,,,,
3.9343,0.118161,5.57965,265.676,550.163,550.708,,,,
3.93436,0.118228,5.57995,266.034,550.163,550.708,,,,
3.93442,0.118283,5.58053,266.398,550.163,550.716,,,,
3.93447,0.118333,5.58089,266.766,550.163,550.716,,,,
3.93452,0.118383,5.58172,267.123,550.163,550.716,,,,
3.93457,0.118433,5.5824,267.483,550.161,550.716,,,,
3.93462,0.118483,5.58311,267.838,550.161,550.716,,,,
3.93468,0.118542,5.58397,268.188,550.161,550.716,,,,
3.9348,0.118661,5.58995,267.823,550.161,550.71,,,,
3.93481,0.118675,5.59189,267.473,550.159,550.71,,,,
3.93482,0.118689,5.59413,267.032,550.159,550.71,,,,
3.93484,0.1187,5.59567,266.631,550.159,550.71,,,,
3.93485,0.118711,5.59782,266.211,550.159,550.71,,,,
3.93486,0.118722,5.59952,265.808,550.159,550.71,,,,
3.93487,0.118733,5.60145,265.431,550.159,550.71,,,,
3.93488,0.118747,5.6037,265.01,550.159,550.71,,,,
3.9349,0.118761,5.60547,264.661,550.159,550.71,,,,
3.93492,0.118781,5.6081,264.291,550.159,550.71,,,,
3.93494,0.118808,5.61153,263.932,550.159,550.71,,,,
3.93545,0.119314,5.65445,264.284,550.171,550.731,,,,
3.93561,0.119478,5.66701,264.637,550.171,550.731,,,,
3.93581,0.119678,5.68067,264.985,550.173,550.727,,,,
3.93599,0.119856,5.69111,265.336,550.165,550.727,,,,
3.93626,0.120122,5.70734,265.686,550.178,550.734,,,,
3.9365,0.120367,5.72099,266.036,550.183,550.741,,,,
3.93677,0.120639,5.73215,266.385,550.186,550.736,,,,
3.93705,0.120911,5.73888,266.735,550.184,550.735,,,,
3.93726,0.121119,5.7425,267.086,550.184,550.743,,,,
3.9375,0.121364,5.74434,267.438,550.187,550.75,,,,
3.93771,0.121578,5.74651,267.79,550.201,550.75,,,,
3.93792,0.121786,5.74821,268.14,550.186,550.76,,,,
3.9381,0.121961,5.74987,268.493,550.186,550.755,,,,
3.9383,0.122161,5.75181,268.844,550.19,550.755,,,,
3.93846,0.122328,5.75277,269.195,550.192,550.749,,,,
3.93866,0.122519,5.75265,269.544,550.192,550.748,,,,
3.9388,0.122667,5.75163,269.895,550.188,550.748,,,,
3.93916,0.123019,5.75061,270.255,550.19,550.76,,,,
3.9392,0.123067,5.75101,270.604,550.19,550.76,,,,
3.93925,0.123111,5.75135,270.954,550.191,550.76,,,,
3.93929,0.123156,5.75179,271.309,550.191,550.76,,,,
3.93934,0.123203,5.75261,271.677,550.191,550.76,,,,
3.93939,0.123253,5.75303,272.043,550.191,550.76,,,,
3.93945,0.123311,5.754,272.397,550.191,550.751,,,,
3.93962,0.123486,5.76331,271.994,550.189,550.751,,,,
3.93964,0.1235,5.76517,271.614,550.189,550.751,,,,
3.93965,0.123511,5.76699,271.251,550.189,550.751,,,,
3.93966,0.123522,5.76869,270.861,550.189,550.751,,,,
3.93967,0.123533,5.77051,270.461,550.189,550.751,,,,
3.93968,0.123544,5.77231,270.079,550.189,550.751,,,,
3.93969,0.123556,5.77392,269.731,550.189,550.745,,,,
3.93971,0.123569,5.77621,269.352,550.189,550.745,,,,
3.93972,0.123586,5.77857,268.974,550.189,550.745,,,,
3.93974,0.123608,5.78149,268.599,550.189,550.745,,,,
3.93978,0.123642,5.78526,268.234,550.189,550.745,,,,
3.94069,0.124558,5.86364,268.584,550.199,550.742,,,,
3.94115,0.125017,5.90437,268.935,550.189,550.744,,,,
3.9414,0.125261,5.92444,269.284,550.194,550.746,,,,
3.94162,0.125481,5.94216,269.637,550.2,550.746,,,,
3.94181,0.125669,5.95753,269.987,550.189,550.746,,,,
3.942,0.125867,5.97415,270.339,550.189,550.754,,,,
3.94218,0.126042,5.9882,270.688,550.187,550.754,,,,
3.94239,0.126258,6.00582,271.038,550.19,550.754,,,,
3.9426,0.126464,6.02362,271.387,550.197,550.745,,,,
3.94286,0.126722,6.0452,271.738,550.186,550.751,,,,
3.94317,0.127033,6.07051,272.091,550.193,550.743,,,,
3.9435,0.127364,6.09445,272.44,550.188,550.74,,,,
3.94378,0.127647,6.11112,272.789,550.18,550.739,,,,
3.94408,0.127944,6.12463,273.139,550.186,550.746,,,,
3.94438,0.128244,6.13553,273.489,550.198,550.748,,,,
3.94462,0.128486,6.14144,273.837,550.203,550.758,,,,
3.94495,0.128817,6.14562,274.187,550.211,550.76,,,,
3.94527,0.129136,6.14806,274.54,550.211,550.753,,,,
3.94547,0.129336,6.14803,274.891,550.203,550.753,,,,
3.94568,0.129544,6.14849,275.24,550.212,550.756,,,,
3.94584,0.1297,6.14823,275.593,550.212,550.758,,,,
3.94601,0.129869,6.14808,275.946,550.212,550.758,,,,
3.94642,0.130289,6.14745,276.299,550.209,550.764,,,,
3.94649,0.13035,6.14812,276.662,550.208,550.764,,,,
3.94654,0.130406,6.14834,277.021,550.208,550.764,,,,
3.9466,0.130461,6.14851,277.383,550.208,550.764,,,,
3.94666,0.130519,6.14855,277.741,550.208,550.764,,,,
3.94672,0.130586,6.14885,278.09,550.208,550.765,,,,
3.94685,0.130711,6.15222,277.701,550.219,550.765,,,,
3.94686,0.130728,6.15387,277.329,550.219,550.765,,,,
3.94688,0.130742,6.15567,276.933,550.219,550.765,,,,
3.94689,0.130753,6.15706,276.572,550.219,550.765,,,,
3.9469,0.130764,6.15864,276.192,550.219,550.765,,,,
3.94691,0.130775,6.16039,275.818,550.219,550.765,,,,
3.94692,0.130786,6.1618,275.467,550.219,550.765,,,,
3.94694,0.1308,6.16388,275.072,550.219,550.765,,,,
3.94695,0.130817,6.16618,274.678,550.219,550.765,,,,
3.94697,0.130836,6.16853,274.318,550.219,550.765,,,,
3.947,0.130864,6.17128,273.955,550.219,550.765,,,,
3.94706,0.130928,6.17724,273.603,550.216,550.765,,,,
3.9473,0.131161,6.19596,273.955,550.216,550.756,,,,
3.94751,0.131372,6.21498,274.304,550.221,550.75,,,,
3.94773,0.131597,6.23471,274.653,550.205,550.75,,,,
3.94795,0.131817,6.25411,275.002,550.205,550.732,,,,
3.9484,0.132261,6.2884,275.352,550.211,550.728,,,,
3.94867,0.132531,6.30287,275.701,550.204,550.723,,,,
3.94894,0.132806,6.31733,276.049,550.191,550.727,,,,
3.94919,0.133053,6.32831,276.4,550.196,550.71,,,,
3.94939,0.13325,6.33617,276.753,550.19,550.71,,,,
3.94962,0.133486,6.34339,277.104,550.187,550.722,,,,
3.94982,0.133681,6.34783,277.453,550.194,550.722,,,,
3.95006,0.133925,6.3517,277.804,550.194,550.717,,,,
3.95029,0.134158,6.35279,278.153,550.191,550.708,,,,
3.95052,0.134383,6.35382,278.506,550.184,550.708,,,,
3.95069,0.134556,6.35431,278.86,550.177,550.723,,,,
3.95088,0.134747,6.3551,279.21,550.177,550.713,,,,
3.95104,0.134903,6.35553,279.559,550.188,550.713,,,,
3.95121,0.135078,6.35563,279.912,550.18,550.712,,,,
3.95136,0.135222,6.35555,280.263,550.18,550.712,,,,
3.95161,0.135475,6.35516,279.912,550.18,550.713,,,,
3.95174,0.135606,6.35516,280.268,550.176,550.717,,,,
3.9518,0.135661,6.35555,280.631,550.176,550.717,,,,
3.95185,0.135711,6.35595,280.984,550.176,550.717,,,,
3.95189,0.135758,6.35648,281.347,550.176,550.717,,,,
3.95194,0.135806,6.35723,281.699,550.176,550.717,,,,
3.952,0.135861,6.35761,282.061,550.176,550.724,,,,
3.95207,0.135933,6.35861,282.415,550.178,550.724,,,,
3.95217,0.136036,6.36328,282.024,550.178,550.724,,,,
3.95219,0.136056,6.36529,281.607,550.178,550.724,,,,
3.95221,0.136069,6.36713,281.209,550.178,550.724,,,,
3.95222,0.136081,6.36856,280.851,550.178,550.724,,,,
3.95223,0.136092,6.37029,280.476,550.178,550.725,,,,
3.95224,0.136103,6.37187,280.097,550.178,550.725,,,,
3.95225,0.136114,6.37359,279.729,550.178,550.725,,,,
3.95226,0.136128,6.37569,279.31,550.178,550.725,,,,
3.95228,0.136142,6.37745,278.948,550.178,550.725,,,,
3.95229,0.136158,6.37943,278.598,550.177,550.725,,,,
3.95232,0.136181,6.38199,278.245,550.177,550.725,,,,
3.95235,0.136214,6.3854,277.896,550.177,550.725,,,,
3.95296,0.136822,6.4359,278.249,550.176,550.713,,,,
3.95314,0.137008,6.45165,278.6,550.17,550.724,,,,
3.95337,0.137231,6.47084,278.949,550.17,550.716,,,,
3.95354,0.137408,6.48631,279.298,550.172,550.716,,,,
3.95377,0.137639,6.50683,279.647,550.168,550.709,,,,
3.95396,0.137828,6.52271,279.999,550.168,550.708,,,,
3.95422,0.138089,6.54499,280.353,550.168,550.711,,,,
3.95449,0.138353,6.56662,280.704,550.172,550.709,,,,
3.95475,0.138614,6.58819,281.054,550.173,550.712,,,,
3.9551,0.138964,6.61498,281.403,550.178,550.716,,,,
3.95543,0.139292,6.63843,281.753,550.179,550.725,,,,
3.95574,0.1396,6.66323,282.103,550.18,550.72,,,,
3.95598,0.139844,6.67993,282.452,550.187,550.717,,,,
3.95629,0.140153,6.69909,282.802,550.179,550.712,,,,
3.9566,0.140467,6.71597,283.151,550.185,550.712,,,,
3.95687,0.140733,6.72551,283.501,550.184,550.707,,,,
3.95713,0.140992,6.73161,283.851,550.177,550.71,,,,
3.9574,0.141267,6.7362,284.202,550.185,550.707,,,,
3.95764,0.141503,6.73915,284.552,550.179,550.702,,,,
3.95793,0.141792,6.74185,284.903,550.188,550.695,,,,
3.95817,0.142036,6.7436,285.255,550.182,550.706,,,,
3.95837,0.142231,6.74385,285.605,550.182,550.702,,,,
3.95861,0.142478,6.74398,285.96,550.178,550.703,,,,
3.95924,0.143103,6.742,286.323,550.178,550.705,,,,
3.9593,0.143167,6.74226,286.681,550.178,550.705,,,,
3.95936,0.143225,6.74241,287.034,550.178,550.705,,,,
3.95942,0.143281,6.7427,287.395,550.178,550.705,,,,
3.95947,0.143333,6.74288,287.758,550.178,550.698,,,,
3.95952,0.143386,6.74342,288.115,550.179,550.698,,,,
3.95959,0.14345,6.74422,288.478,550.179,550.698,,,,
3.95971,0.143578,6.74997,288.077,550.179,550.701,,,,
3.95973,0.143592,6.75169,287.706,550.179,550.701,,,,
3.95974,0.143603,6.75299,287.333,550.179,550.701,,,,
3.95975,0.143614,6.75513,286.905,550.179,550.701,,,,
3.95976,0.143625,6.75671,286.452,550.179,550.701,,,,
3.95977,0.143636,6.75878,286.01,550.178,550.701,,,,
3.95978,0.143647,6.76061,285.59,550.178,550.701,,,,
3.95979,0.143658,6.7625,285.209,550.178,550.701,,,,
3.95981,0.143672,6.76494,284.798,550.178,550.701,,,,
3.95982,0.143689,6.76741,284.402,550.178,550.701,,,,
3.95985,0.143711,6.77023,284.018,550.178,550.701,,,,
3.95988,0.143744,6.77399,283.647,550.178,550.701,,,,
3.96025,0.144114,6.80507,283.997,550.176,550.697,,,,
3.96049,0.144358,6.82713,284.345,550.174,550.695,,,,
3.96072,0.144586,6.84694,284.696,550.181,550.686,,,,
3.96109,0.14495,6.87788,285.046,550.169,550.699,,,,
3.96153,0.145394,6.91397,285.4,550.162,550.678,,,,
3.9618,0.145664,6.93225,285.749,550.168,550.677,,,,
3.96202,0.145881,6.94514,286.101,550.169,550.668,,,,
3.96228,0.146147,6.95844,286.449,550.169,550.669,,,,
3.96248,0.146347,6.96762,286.798,550.156,550.669,,,,
3.96274,0.1466,6.97759,287.151,550.159,550.671,,,,
3.96293,0.146794,6.98237,287.502,550.166,550.677,,,,
3.96317,0.147039,6.98624,287.854,550.161,550.667,,,,
3.96337,0.147239,6.98892,288.203,550.161,550.67,,,,
3.96364,0.147503,6.99121,288.554,550.145,550.672,,,,
3.96393,0.147794,6.99288,288.903,550.138,550.665,,,,
3.96414,0.148003,6.9933,289.255,550.144,550.665,,,,
3.96438,0.148247,6.99382,289.604,550.154,550.659,,,,
3.96463,0.148497,6.99477,289.953,550.157,550.659,,,,
3.96503,0.148894,6.99486,289.6,550.157,550.649,,,,
3.96519,0.14905,6.99451,289.959,550.151,550.649,,,,
3.96524,0.149106,6.99445,290.315,550.151,550.649,,,,
3.96529,0.149156,6.99465,290.683,550.151,550.653,,,,
3.96534,0.1492,6.99478,291.035,550.151,550.653,,,,
3.96538,0.149247,6.9951,291.397,550.143,550.653,,,,
3.96543,0.149297,6.99535,291.759,550.143,550.653,,,,
3.96548,0.149347,6.9957,292.114,550.143,550.653,,,,
3.96554,0.149403,6.99622,292.479,550.143,550.653,,,,
3.96559,0.149456,6.99695,292.829,550.143,550.653,,,,
3.96566,0.149519,6.99774,293.182,550.149,550.653,,,,
3.96583,0.149694,7.0049,292.814,550.149,550.663,,,,
3.96585,0.149711,7.00703,292.426,550.149,550.663,,,,
3.96586,0.149725,7.00896,292.033,550.149,550.663,,,,
3.96587,0.149739,7.01085,291.598,550.149,550.663,,,,
3.96589,0.14975,7.01273,291.236,550.146,550.663,,,,
3.9659,0.149761,7.01439,290.877,550.146,550.663,,,,
3.96591,0.149775,7.01639,290.451,550.146,550.663,,,,
3.96592,0.149789,7.01852,290.07,550.146,550.663,,,,
3.96594,0.149806,7.02092,289.68,550.146,550.663,,,,
3.96596,0.149825,7.02351,289.319,550.146,550.663,,,,
3.96599,0.149853,7.02662,288.941,550.146,550.663,,,,
3.96604,0.149903,7.03173,288.588,550.146,550.663,,,,
3.96638,0.150242,7.0593,288.936,550.137,550.655,,,,
3.96666,0.150519,7.08241,289.285,550.14,550.653,,,,
3.96687,0.150733,7.09995,289.637,550.145,550.661,,,,
3.96715,0.151011,7.12266,289.986,550.14,550.647,,,,
3.96744,0.151306,7.14676,290.337,550.14,550.651,,,,
3.96778,0.151642,7.17395,290.686,550.147,550.658,,,,
3.96813,0.151997,7.20437,291.036,550.135,550.641,,,,
3.96847,0.152331,7.23103,291.388,550.146,550.648,,,,
3.96879,0.15265,7.25713,291.739,550.143,550.642,,,,
3.96903,0.152892,7.27737,292.089,550.132,550.644,,,,
3.96932,0.153186,7.30063,292.44,550.14,550.646,,,,
3.96961,0.153475,7.32108,292.79,550.145,550.641,,,,
3.96985,0.153714,7.33618,293.142,550.157,550.628,,,,
3.97014,0.154,7.35408,293.495,550.163,550.628,,,,
3.97043,0.154297,7.36993,293.845,550.159,550.63,,,,
3.97066,0.154528,7.37795,294.196,550.166,550.623,,,,
3.97094,0.1548,7.38447,294.547,550.158,550.632,,,,
3.97123,0.155097,7.38868,294.899,550.148,550.639,,,,
3.97163,0.155497,7.39217,295.247,550.164,550.626,,,,
3.97187,0.155736,7.39354,295.597,550.162,550.619,,,,
3.97214,0.156003,7.39555,295.95,550.152,550.622,,,,
3.97233,0.156194,7.39583,296.299,550.166,550.617,,,,
3.97252,0.156381,7.3955,296.65,550.166,550.608,,,,
3.97279,0.156656,7.39506,296.292,550.16,550.606,,,,
3.97302,0.156883,7.39525,296.641,550.156,550.606,,,,
3.97308,0.156944,7.39584,297,550.156,550.61,,,,
3.97314,0.157,7.39601,297.349,550.154,550.61,,,,
3.97319,0.157058,7.39667,297.698,550.154,550.61,,,,
3.97325,0.157114,7.3973,298.057,550.154,550.61,,,,
3.97331,0.157169,7.39835,298.42,550.154,550.61,,,,
3.97336,0.157225,7.39925,298.787,550.154,550.604,,,,
3.97342,0.157283,7.40053,299.138,550.164,550.604,,,,
3.97351,0.157375,7.4029,299.488,550.164,550.604,,,,
3.97359,0.15745,7.40731,299.139,550.164,550.604,,,,
3.97361,0.157472,7.40959,298.729,550.164,550.609,,,,
3.97362,0.157486,7.41131,298.36,550.164,550.609,,,,
3.97363,0.157497,7.41285,298.005,550.164,550.609,,,,
3.97364,0.157508,7.4149,297.616,550.164,550.609,,,,
3.97366,0.157519,7.41658,297.213,550.164,550.609,,,,
3.97367,0.157531,7.4188,296.801,550.164,550.609,,,,
3.97368,0.157542,7.42067,296.404,550.157,550.609,,,,
3.97369,0.157553,7.42256,296.042,550.157,550.609,,,,
3.9737,0.157567,7.42498,295.641,550.157,550.609,,,,
3.97372,0.157583,7.42757,295.231,550.157,550.609,,,,
3.97374,0.157603,7.43015,294.86,550.157,550.609,,,,
3.97376,0.157628,7.4333,294.5,550.157,550.609,,,,
3.97381,0.157678,7.43826,294.14,550.157,550.609,,,,
3.97414,0.158003,7.46499,294.492,550.163,550.601,,,,
3.97453,0.158394,7.49848,294.843,550.16,550.603,,,,
3.97478,0.158644,7.5198,295.191,550.16,550.594,,,,
3.97512,0.158983,7.54795,295.543,550.168,550.593,,,,
3.97541,0.159278,7.57084,295.896,550.156,550.593,,,,
3.97569,0.15955,7.59101,296.245,550.172,550.586,,,,
3.97588,0.159747,7.60263,296.593,550.172,550.583,,,,
3.97613,0.159997,7.61613,296.942,550.161,550.586,,,,
3.97635,0.160217,7.62623,297.29,550.166,550.586,,,,
3.97662,0.160481,7.63648,297.638,550.154,550.587,,,,
3.97689,0.160758,7.64365,297.99,550.155,550.583,,,,
3.97714,0.161008,7.64846,298.341,550.163,550.572,,,,
3.97746,0.161319,7.65205,298.69,550.157,550.573,,,,
3.97783,0.161692,7.65296,299.044,550.152,550.575,,,,
3.97803,0.161892,7.65409,299.394,550.152,550.575,,,,
3.97821,0.162075,7.65506,299.748,550.148,550.567,,,,
3.97836,0.162219,7.65553,300.101,550.148,550.562,,,,
3.97853,0.162392,7.65599,300.455,550.147,550.562,,,,
3.97867,0.162533,7.65678,300.808,550.147,550.563,,,,
3.9788,0.162661,7.65703,301.158,550.147,550.563,,,,
3.97896,0.162828,7.65753,301.507,550.146,550.57,,,,
3.97912,0.162981,7.6579,301.158,550.146,550.57,,,,
3.97919,0.163058,7.65766,300.804,550.146,550.557,,,,
3.97935,0.163214,7.65814,301.156,550.145,550.557,,,,
3.9794,0.163267,7.65872,301.514,550.145,550.557,,,,
3.97945,0.163314,7.65873,301.883,550.145,550.555,,,,
3.97949,0.163358,7.65915,302.237,550.145,550.555,,,,
3.97954,0.163403,7.65967,302.59,550.138,550.555,,,,
3.97958,0.163447,7.66009,302.939,550.138,550.555,,,,
3.97963,0.163497,7.66103,303.29,550.138,550.555,,,,
3.97969,0.163556,7.66197,303.642,550.138,550.555,,,,
3.97977,0.163639,7.66314,303.996,550.138,550.553,,,,
3.97991,0.163775,7.6696,303.642,550.156,550.553,,,,
3.97993,0.163794,7.67168,303.267,550.156,550.553,,,,
3.97995,0.163811,7.67387,302.842,550.156,550.553,,,,
3.97996,0.163825,7.67601,302.439,550.156,550.553,,,,
3.97997,0.163839,7.67804,302.01,550.156,550.553,,,,
3.97999,0.16385,7.67975,301.661,550.156,550.553,,,,
3.98,0.163864,7.68201,301.248,550.156,550.549,,,,
3.98001,0.163878,7.6839,300.872,550.156,550.549,,,,
3.98003,0.163894,7.68618,300.465,550.156,550.549,,,,
3.98005,0.163914,7.68851,300.076,550.156,550.549,,,,
3.98007,0.163939,7.69174,299.717,550.14,550.549,,,,
3.98011,0.163978,7.69599,299.364,550.14,550.549,,,,
3.9806,0.164467,7.73847,299.715,550.145,550.547,,,,
3.98091,0.164772,7.76441,300.064,550.138,550.546,,,,
3.98121,0.165072,7.78766,300.416,550.135,550.547,,,,
3.9816,0.165467,7.82236,300.766,550.136,550.542,,,,
3.98192,0.165786,7.84948,301.114,550.143,550.539,,,,
3.98225,0.166111,7.8769,301.464,550.141,550.549,,,,
3.98249,0.166358,7.89692,301.815,550.138,550.549,,,,
3.98279,0.166653,7.92203,302.169,550.141,550.545,,,,
3.98307,0.166936,7.94646,302.52,550.13,550.532,,,,
3.98332,0.167183,7.96737,302.87,550.142,550.532,,,,
3.98358,0.167447,7.98909,303.221,550.148,550.537,,,,
3.98387,0.167736,8.01058,303.574,550.138,550.53,,,,
3.98412,0.167983,8.02626,303.923,550.146,550.541,,,,
3.98441,0.168275,8.0413,304.271,550.138,550.535,,,,
3.98475,0.168611,8.05824,304.622,550.147,550.533,,,,
3.98508,0.168944,8.06941,304.974,550.148,550.527,,,,
3.98536,0.169225,8.07525,305.323,550.151,550.528,,,,
3.98568,0.169547,8.07805,305.672,550.149,550.523,,,,
3.98603,0.169892,8.07994,306.024,550.153,550.524,,,,
3.98626,0.170119,8.08109,306.373,550.157,550.515,,,,
3.98642,0.170289,8.08172,306.721,550.157,550.524,,,,
3.98661,0.170469,8.0824,307.07,550.148,550.524,,,,
3.98677,0.170639,8.0832,307.421,550.147,550.521,,,,
3.98691,0.170778,8.08429,307.775,550.147,550.521,,,,
3.98726,0.171122,8.08558,307.425,550.148,550.518,,,,
3.98751,0.171375,8.0869,307.779,550.156,550.513,,,,
3.98757,0.171436,8.08759,308.127,550.154,550.513,,,,
3.98763,0.171492,8.08808,308.484,550.154,550.513,,,,
3.98768,0.171547,8.08834,308.843,550.154,550.513,,,,
3.98774,0.171603,8.08862,309.192,550.154,550.513,,,,
3.9878,0.171664,8.08934,309.544,550.154,550.508,,,,
3.98788,0.171744,8.09067,309.9,550.156,550.508,,,,
3.98801,0.171875,8.09639,309.535,550.156,550.508,,,,
3.98803,0.171894,8.09869,309.123,550.156,550.508,,,,
3.98804,0.171908,8.10042,308.731,550.156,550.508,,,,
3.98806,0.171919,8.10215,308.375,550.156,550.508,,,,
3.98807,0.171931,8.10387,307.992,550.156,550.499,,,,
3.98808,0.171942,8.10561,307.598,550.156,550.499,,,,
3.98809,0.171953,8.10766,307.222,550.156,550.499,,,,
3.9881,0.171964,8.1091,306.859,550.156,550.499,,,,
3.98811,0.171978,8.11146,306.456,550.156,550.499,,,,
3.98813,0.171992,8.1135,306.106,550.156,550.499,,,,
3.98814,0.172008,8.11561,305.749,550.156,550.499,,,,
3.98817,0.172031,8.11847,305.38,550.156,550.499,,,,
3.9882,0.172064,8.12212,305.012,550.156,550.499,,,,
3.98829,0.17215,8.13045,304.663,550.156,550.499,,,,
3.98846,0.172319,8.14383,305.012,550.146,550.494,,,,
3.98881,0.172678,8.17319,305.362,550.148,550.495,,,,
3.98904,0.172908,8.19161,305.713,550.153,550.485,,,,
3.98931,0.173172,8.21371,306.062,550.149,550.485,,,,
3.98964,0.1735,8.24025,306.413,550.15,550.48,,,,
