Time,Strain
0,0
1,2.48196E-06
2,4.96385E-06
3.099999905,7.69386E-06
4.309999943,1.06968E-05
5.640999794,1.40001E-05
7.105100155,1.76335E-05
8.71560955,2.16299E-05
10.48717117,2.60264E-05
12.43588829,3.08619E-05
14.57947731,3.61806E-05
16.93742371,4.20312E-05
19.53116798,4.84664E-05
22.38428307,5.55446E-05
25.52271271,6.33306E-05
28.97498322,7.18947E-05
32.77248001,8.13138E-05
36.94972992,9.1675E-05
41.54470444,0.00010307
46.5991745,0.000115605
52.15909195,0.00012939
58.27499771,0.000144556
65.00250244,0.000161232
72.40274811,0.000179573
80.54302216,0.000199749
89.49732971,0.000221933
99.34706116,0.000246337
110.1817627,0.000273173
122.0999451,0.000302686
135.2099304,0.000335146
142.4204254,0.000352996
150.3519745,0.000372629
159.0766754,0.000394219
168.6738586,0.000417974
173.952301,0.000431046
179.7585907,0.000445427
186.1455078,0.000461263
193.1711121,0.000478691
200.8992767,0.000497878
209.4002686,0.000518989
214.0758057,0.000530605
219.2189026,0.000543395
224.8763123,0.000557483
231.0994568,0.000573021
237.944931,0.000590203
241.7099304,0.000599718
245.8514404,0.000610319
250.4070892,0.000622279
255.4183044,0.000636051
258.174469,0.000643974
261.2062683,0.000653126
262.8737488,0.000658376
264.7079773,0.000664433
266.725647,0.000671538
268.9450684,0.000680056
271.1644897,0.000689557
272.2742004,0.0006947
273.3839111,0.000700259
274.4936218,0.000706233
275.6033325,0.00071263
276.7130432,0.000719505
277.8227539,0.000726933
278.9324646,0.000734927
279.2098694,0.000736982
279.4873047,0.000739077
279.7924805,0.000741455
280.1281738,0.000744131
280.4974365,0.000747166
280.903595,0.00075059
281.3504028,0.000754479
281.8418884,0.00075891
282.3825073,0.000763941
282.9772034,0.000769701
283.6313782,0.00077629
284.3509521,0.000783859
285.1424866,0.000792574
286.0131531,0.000802634
286.9709167,0.000814259
288.0244446,0.000827749
288.3141785,0.000831362
288.6328735,0.000835572
288.983429,0.000840257
289.3690491,0.000845584
289.7932129,0.000851547
290.2598267,0.000858283
290.7730713,0.000865852
291.337677,0.00087443
291.9587097,0.000884048
292.6418457,0.000895026
292.8297119,0.000897971
293.036377,0.000901327
293.2637024,0.000905019
293.5137329,0.000909158
293.7887878,0.000913758
294.0913391,0.000918874
294.4241638,0.00092457
294.7902527,0.000930931
295.1929626,0.000938007
295.6359558,0.000945899
296.12323,0.000954708
296.6592102,0.000964561
297.2488098,0.000975547
297.8973999,0.000987839
298.6108093,0.001001571
299.3955688,0.001016962
300.2587891,0.001034093
300.4961853,0.001038793
300.7573242,0.001044038
301.0445557,0.00104984
301.3605347,0.001056273
301.7080994,0.001063389
302.0904236,0.001071291
302.5109558,0.001080047
302.9735718,0.001089758
303.4824219,0.001100536
304.0421753,0.001112499
304.6579285,0.001125773
305.3352051,0.001140551
306.0802612,0.001156951
306.8997803,0.001175271
307.8012695,0.001195473
308.7929077,0.001218502
309.0656128,0.001224576
309.3655701,0.001231461
309.6955566,0.001239015
310.0585022,0.001247462
310.4577637,0.001256768
310.8969421,0.001267138
311.3800659,0.001278545
311.9114685,0.001291303
312.4960327,0.001305298
313.1390381,0.001321042
313.8463745,0.001338096
314.040863,0.001342868
314.2548218,0.001348161
314.4902039,0.001353979
314.7490845,0.001360391
315.0338745,0.001367482
315.3471375,0.001375288
315.6917114,0.001383924
316.0707703,0.001393458
316.4877319,0.001403998
316.9463806,0.00141565
317.4508972,0.001428547
318.0058594,0.001442807
318.6163025,0.00145863
319.2878113,0.001476165
320.0264587,0.001495594
320.8389893,0.001517159
321.7327576,0.001541114
322.7159119,0.001567694
323.7973938,0.001597421
324.9869995,0.001629967
325.3141479,0.001639064
325.6740112,0.001649144
326.0698547,0.001660252
326.5052795,0.001672529
326.9842529,0.001686129
327.5111084,0.001701162
328.0906677,0.001717792
328.7281799,0.001736205
329.4294434,0.001756621
329.6222839,0.001762233
329.8344116,0.00176842
330.0677795,0.00177524
330.3244324,0.001782756
330.606781,0.001791069
330.9173584,0.001800247
331.2590027,0.001810375
331.6348267,0.001821567
332.0481873,0.001833926
332.5029297,0.001847606
333.0031128,0.001862709
333.5533447,0.001879433
334.1585693,0.001897928
334.8243408,0.001918473
335.5566711,0.00194118
336.3622437,0.001966417
337.2483521,0.001994402
338.223114,0.002025505
339.2953186,0.002059989
340.474762,0.00209885
340.7991028,0.002109194
341.1558838,0.002120879
341.5483398,0.00213367
341.9800415,0.00214799
342.454895,0.002163698
342.9772644,0.002181279
343.5518494,0.00220048
344.1839294,0.002222196
344.5315552,0.002233884
344.9139404,0.002246965
345.3345642,0.002261344
345.7972717,0.002277333
346.3062439,0.002294911
346.8660889,0.002314557
347.4819641,0.002336015
348.1593933,0.002360282
348.3456726,0.00236681
348.5505981,0.002374037
348.7760315,0.002382014
349.0239868,0.002390811
349.2967224,0.002400545
349.5967712,0.002411287
349.9267883,0.002423156
350.2898254,0.0024363
350.6891785,0.002450797
351.1284485,0.002466803
351.6116333,0.002484531
352.143158,0.002504131
352.7278137,0.002525846
353.3709717,0.00254989
354.0784302,0.002576499
354.8566284,0.002606047
355.7126465,0.002638804
356.6542664,0.002675272
357.690033,0.002715692
358.8293762,0.002761006
360.0826721,0.002810566
