Time,Strain
0,0
1,2.14139E-06
2,4.28272E-06
3.099999905,6.63812E-06
4.309999943,9.22906E-06
5.640999794,1.2079E-05
7.105100155,1.52139E-05
8.71560955,1.8662E-05
10.48717117,2.24549E-05
12.43588829,2.66274E-05
14.57947731,3.12164E-05
16.93742371,3.62645E-05
19.53116798,4.18173E-05
22.38428307,4.79246E-05
25.52271271,5.46421E-05
28.97498322,6.2031E-05
32.77248001,7.01587E-05
36.94972992,7.90984E-05
41.54470444,8.89324E-05
46.5991745,9.97476E-05
52.15909195,0.000111643
58.27499771,0.000124728
65.00250244,0.000139119
72.40274811,0.000154948
80.54302216,0.000172356
89.49732971,0.000191505
99.34706116,0.000212563
110.1817627,0.000235724
122.0999451,0.000261196
135.2099304,0.00028921
149.6309357,0.000320014
157.5624695,0.00033696
166.2871704,0.000355591
175.8843536,0.000376086
186.4412384,0.000398628
198.0538177,0.000423425
204.4407349,0.00043707
211.4663391,0.000452093
219.1945038,0.000468631
227.6954956,0.000486833
237.0465851,0.000506864
242.189682,0.000517882
247.8470917,0.000530016
254.0702362,0.000543366
260.9157104,0.000558072
268.4457092,0.0005743
276.7287292,0.00059225
281.2843628,0.000602209
286.2955933,0.000613337
291.8079224,0.000625963
297.871521,0.000640622
301.2064819,0.000649099
304.874939,0.00065902
306.8926086,0.000664789
309.11203,0.000671557
311.5533752,0.000679647
313.994751,0.000688622
315.2154236,0.000693469
316.4360962,0.000698681
317.6567993,0.000704249
318.8774719,0.000710228
320.0981445,0.000716594
321.3188477,0.000723465
322.5395203,0.000730846
322.844696,0.000732729
323.1498718,0.000734658
323.4855347,0.000736837
323.8547974,0.000739291
324.2609863,0.00074207
324.7077942,0.000745206
325.1992493,0.000748768
325.7398987,0.000752814
326.3345947,0.000757423
326.988739,0.000762672
327.708313,0.000768696
328.4998474,0.000775611
329.3705444,0.000783563
330.3282776,0.000792752
331.3818359,0.000803393
332.5407104,0.000815742
332.8594055,0.000819073
333.2099609,0.000822898
333.5955811,0.000827193
334.0197754,0.000832054
334.4863586,0.000837511
334.9996033,0.000843676
335.564209,0.00085062
336.1852417,0.000858465
336.8683777,0.000867316
337.6198425,0.000877371
338.4464722,0.000888717
339.3557434,0.000901671
340.3559265,0.000916263
341.4561462,0.000933108
341.7586975,0.000937548
342.0915222,0.000942655
342.4576111,0.000948297
342.860321,0.000954648
343.3032837,0.000961705
343.7905579,0.000969613
344.3265686,0.000978396
344.9161682,0.000988237
345.5647278,0.000999157
346.2781677,0.001011431
347.0629272,0.001024971
347.9261475,0.001040365
348.1635437,0.001044497
348.4246826,0.001049111
348.7119141,0.001054199
349.0278625,0.001059873
349.3754272,0.001066129
349.7577515,0.001073071
350.1783142,0.001080778
350.6409302,0.001089318
351.1497803,0.001098774
351.7095337,0.001109268
352.3252563,0.001120922
353.0025635,0.001133874
353.7475891,0.001148246
354.5671387,0.001164241
355.4686279,0.001182
356.4602661,0.00120185
