Time,Strain
320.7346802,0.002994909
321.094635,0.003011747
321.4905396,0.003030336
321.9260559,0.003050853
322.4051208,0.00307361
322.9320984,0.003098643
323.5117493,0.003126563
324.1493835,0.003157204
324.8507996,0.003191625
325.622345,0.003228947
325.8345032,0.003239399
326.0679016,0.003250941
326.3246155,0.003263651
326.6070251,0.003277726
326.9176636,0.003293227
327.2593689,0.003310311
327.6352539,0.00332918
328.0487061,0.003350056
328.50354,0.003373131
329.0038147,0.003398651
329.5541382,0.003426885
330.1595154,0.00345821
330.8253784,0.003492847
331.5578613,0.003531371
332.3635864,0.003573935
333.2499084,0.003621703
334.224823,0.00367354
334.4929199,0.003688114
334.7878418,0.003704242
335.1122742,0.003721995
335.4691162,0.003741601
335.8616333,0.003763218
336.2934265,0.003787166
336.7684021,0.003813592
337.290863,0.003842893
337.8655701,0.00387518
338.4977417,0.00391126
339.1931458,0.003950707
339.3843689,0.003961717
339.5947266,0.003973745
339.8261414,0.003987087
340.080658,0.004001793
340.3606567,0.004018019
340.6686401,0.004035917
341.0074158,0.004055686
341.3800659,0.00407754
341.7900085,0.004101706
342.2409363,0.004128371
342.7369385,0.004157927
343.2825623,0.004190601
343.8827209,0.004226838
344.5429077,0.004266949
345.2691345,0.004311477
346.0679626,0.00436075
346.9466858,0.004415958
347.913269,0.004476259
348.1790771,0.004493013
348.4714661,0.004511622
348.7930908,0.004532082
349.1468811,0.004554763
349.5360718,0.004579798
349.9641724,0.004607431
350.4350586,0.004637985
350.953064,0.004671869
351.5228577,0.004709284
352.1496277,0.0047509
352.8390503,0.004796702
353.5974426,0.004848165
354.4316711,0.004903994
354.6611023,0.004919612
354.9134521,0.004936918
355.19104,0.004955946
355.4963989,0.00497697
355.8322754,0.005000133
356.2017517,0.005025757
356.6081848,0.005054053
357.0552368,0.005085324
357.5469971,0.005119949
358.0879517,0.005158241
358.6829834,0.005200615
359.3375244,0.005247661
360.0575256,0.005299691
360.8495178,0.005357697
361.7207336,0.005421621
362.6790466,0.005493871
362.9425659,0.005513237
363.2324524,0.005534667
363.5513306,0.00555846
363.9020996,0.005584795
364.2879639,0.005613986
364.7123718,0.005646192
365.1792603,0.005681928
365.6928101,0.00572138
366.2577209,0.005765224
366.8791504,0.00581369
367.5626831,0.005867423
368.3145752,0.005926997
369.1416931,0.005993328
370.0514832,0.006066537
370.3016663,0.006086666
370.5769043,0.006109008
370.8796387,0.006133555
371.2126465,0.006160712
371.578949,0.006190781
371.9819031,0.006223943
372.4251404,0.006260676
372.9126892,0.006301366
373.4490051,0.006346258
374.0389709,0.006395964
374.6878967,0.006451049
375.4017334,0.006512112
376.1869507,0.006579805
377.0506897,0.006655185
378.000824,0.006738175
378.262085,0.006761127
378.5494995,0.006786398
378.8656616,0.006814476
379.2134399,0.006845323
379.5959778,0.006879529
380.0167542,0.006917187
380.4796448,0.006958941
380.9888,0.007005137
381.5488892,0.00705612
382.164978,0.007112654
382.8426819,0.007175235
383.5881348,0.007244707
384.4081726,0.007321578
384.633667,0.007342641
384.8817139,0.007365861
385.1545715,0.00739157
385.4547424,0.007420032
385.7848816,0.007451249
386.1480713,0.007486006
386.5475464,0.007524216
386.9869995,0.007566465
387.4703979,0.007613181
388.0021057,0.007664924
388.5870056,0.007722049
389.2304077,0.007785394
389.9381409,0.007855412
390.7166443,0.00793314
391.572998,0.008019163
392.5149841,0.008114913
392.7740173,0.008140916
393.0589905,0.008169945
393.3724365,0.008201797
393.7172241,0.008237055
394.0964966,0.008276043
394.5136719,0.008319207
394.9725952,0.008366727
395.477417,0.008419269
396.0326843,0.008477483
396.6435242,0.008541868
397.3153992,0.008612991
398.0545044,0.008691968
398.8674927,0.008779052
399.7618103,0.008876369
400.0077209,0.008902796
400.2782593,0.008932
400.5758362,0.008964351
400.9031677,0.009000033
401.2632446,0.009039442
401.6593018,0.009082922
402.0950012,0.009131026
402.5742493,0.009184136
403.1014404,0.009242819
403.6813354,0.009307716
404.3192139,0.009379474
405.020874,0.009458917
405.7927246,0.009546809
406.6417542,0.009644224
407.5756836,0.009751966
408.6029968,0.009871916
409.7330322,0.010003917
410.0437927,0.010040314
410.3856506,0.010080583
410.7616577,0.01012502
411.175293,0.010174134
