Date/Clock time,45720.4,,,,
Tester,"Arik, Cameron",,,,
Specimen designation,316H-elg_240MPa_550C_03,,,,
Diameter,6.04267,mm,,,
Material,316H-elg,,,,
Load cell,100kN,,,,
Extensometer,Epsilon 3549 SN102121 GL25mm,,,,
"Gage length, standard travel",25,mm,,,
Test standard,ASTM E136,,,,
Machine data,ZwickRoell Kappa100 SS-CF,,,,
Time,Test time,Standard travel,Standard force,Temperature,Temperature 3
h,h,%,MPa,°C,°C
0.000617792,0.000308333,-1.29302,0.734553,23.3328,23.2381
0.00149835,0,0,0.733283,23.3267,23.2345
0.00187057,0.000372222,0.000989141,1.08487,23.3358,23.2267
0.00204279,0.000544444,0.00149343,1.43846,23.3358,23.2294
0.0022039,0.000705556,0.00176331,1.78961,23.3478,23.2294
0.0855372,0.0840389,0.00594553,1.97324,25.6668,25.5302
0.168871,0.167372,0.0204654,1.97064,38.705,38.3568
0.252204,0.250706,0.0425922,1.96738,56.7991,56.1171
0.335537,0.334039,0.0716385,1.96955,78.5413,77.8101
0.418871,0.417372,0.101899,1.97695,103.755,103.065
0.502204,0.500706,0.137034,1.96284,131.914,131.645
0.585537,0.584039,0.175386,1.96254,159.948,159.949
0.668871,0.667372,0.215178,2.01257,189.379,189.034
0.752204,0.750706,0.260878,1.95515,215.569,215.002
0.835537,0.834039,0.313306,1.95803,241.012,241.474
0.918871,0.917372,0.361439,1.95476,266.635,267.716
1.0022,1.00071,0.407652,1.95491,292.778,293.729
1.08554,1.08404,0.454693,1.95368,318.053,319.538
1.16887,1.16737,0.508795,1.94929,342.26,344.273
1.2522,1.25071,0.558824,1.95588,367.38,368.321
1.33554,1.33404,0.606978,1.9489,393.32,393.34
1.41887,1.41737,0.657009,1.94287,418.663,417.433
1.5022,1.50071,0.704848,1.95845,443.686,442.036
1.58554,1.58404,0.757618,1.94507,468.664,466.304
1.66887,1.66737,0.811335,1.94795,493.044,489.628
1.7522,1.75071,0.863899,1.96398,517.958,514.804
1.83554,1.83404,0.90857,1.95616,535.292,532.382
1.91887,1.91737,0.938908,1.96324,545.12,542.182
2.0022,2.00071,0.961726,1.96795,550.722,547.792
2.08554,2.08404,0.978154,1.96237,553.295,550.541
2.16887,2.16737,0.983232,1.97497,553.998,551.067
2.2522,2.25071,0.984816,1.97578,553.757,551.304
2.33554,2.33404,0.981206,1.96675,552.68,550.653
2.41887,2.41737,0.982491,1.96962,551.44,549.668
2.5022,2.50071,0.980962,1.98359,550.132,548.646
2.58554,2.58404,0.982934,1.97006,549.006,547.773
2.66887,2.66737,0.982246,1.97363,548.122,547.13
2.7522,2.75071,0.982421,1.96693,547.486,546.719
2.83554,2.83404,0.985055,1.97202,547.081,546.453
2.91887,2.91737,0.988909,1.96831,546.905,546.154
3.0022,3.00071,0.984031,1.97488,547.136,546.656
3.08554,3.08404,0.975118,1.96185,547.073,547.066
3.16887,3.16737,0.977639,1.96923,547.316,547.501
3.2522,3.25071,0.982689,1.97113,547.547,547.858
3.33554,3.33404,0.985739,1.97142,547.897,548.293
3.41887,3.41737,0.987824,1.9762,548.347,548.877
3.5022,3.50071,0.990049,1.9695,548.85,549.456
3.58554,3.58404,0.997148,1.96918,549.268,549.821
