Time 240,Strain 240,Time 240 Creep,Strain 240 Creep,,Time 280,Strain 280,Time 280 Creep,Strain 280 Creep,,Time 300,Strain 300,Time 300 Creep,Strain 300 Creep,,Time 320,Strain 320,Time 320 Creep,Strain 320 Creep,,Time 280 Chris1,Strain 280 Chris1,,,Time 280 Chris2,Strain 280 Chris2,,,Time 280 MOOSE,Strain 280 MOOSE,,,Time 280 Creep FITTED,Strain 280 Creep FITTED,,,Time 320 Creep FITTED,Strain 320 Creep FITTED
0.200577036,0.047666855,0.201057032,3.58E-06,,0.140841007,0.070471928,0.141651005,1.03E-05,,0.160584,0.082745,0.161314,1.39E-05,,0.200441003,0.096059911,0.200710997,1.51E-05,,1.522222222,0.007614253,,,0.01,0,,,9,0.00017279,,,0.140177995,1.27E-05,,,0.201530501,2.31E-05
0.200769037,0.047667366,0.201489031,4.21E-06,,0.141165003,0.070473447,0.142379999,1.20E-05,,0.160876,0.082746,0.161971,1.63E-05,,0.200549006,0.096061103,0.200954005,1.71E-05,,1.605555556,0.007614253,,,0.010555556,0,,,9.5,0.000177595,,,0.140264496,1.48E-05,,,0.202077255,2.61E-05
0.201057032,0.047668066,0.202137038,4.94E-06,,0.141651005,0.070475124,0.143473506,1.39E-05,,0.161314,0.082749,0.162956,1.91E-05,,0.200710997,0.096063279,0.201318502,1.96E-05,,1.688888889,0.010468983,,,0.011111111,0.001934662,,,10,0.000182252,,,0.140394241,1.73E-05,,,0.202897385,2.98E-05
0.201489031,0.047668643,0.203109041,5.79E-06,,0.142379999,0.070476927,0.145113751,1.62E-05,,0.161971,0.082752,0.164434,2.24E-05,,0.200954005,0.09606576,0.201865256,2.25E-05,,1.772222222,0.007614253,,,0.011666667,-0.000938848,,,10.5,0.000186774,,,0.140588865,2.03E-05,,,0.204127565,3.43E-05
0.202137038,0.047669612,0.20456703,6.80E-06,,0.143473506,0.070478976,0.147574127,1.90E-05,,0.162956,0.082755,0.166651,2.63E-05,,0.201318502,0.096068323,0.202685371,2.61E-05,,1.855555556,0.008579943,,,0.012222222,-0.000961548,,,11,0.000191169,,,0.140880793,2.38E-05,,,0.20597285,3.97E-05
0.203109041,0.047670405,0.206754029,7.97E-06,,0.145113751,0.070481472,0.151264682,2.22E-05,,0.164434,0.082759,0.169976,3.08E-05,,0.201865256,0.09607181,0.203915566,3.04E-05,,1.938888889,0.008529696,,,0.012777778,-0.001900396,,,11.5,0.000195447,,,0.141318679,2.79E-05,,,0.208740771,4.61E-05
0.20456703,0.047671605,0.210034534,9.35E-06,,0.147574127,0.070484765,0.156800538,2.60E-05,,0.166651,0.082764,0.174964,3.62E-05,,0.202685371,0.096076369,0.205760852,3.54E-05,,2.022222222,0.010449598,,,0.013333333,0,,,12,0.000199616,,,0.141975522,3.27E-05,,,0.212892652,5.37E-05
0.206754029,0.04767276,0.214955285,1.10E-05,,0.151264682,0.070488445,0.1651043,3.04E-05,,0.169976,0.082769,0.182445,4.24E-05,,0.203915566,0.096081235,0.208528772,4.14E-05,,2.105555556,0.010449598,,,0.013888889,-0.001900396,,,12.5,0.000203682,,,0.142960787,3.83E-05,,,0.219120473,6.27E-05
0.210034534,0.047674246,0.222336411,1.28E-05,,0.156800538,0.07049273,0.177559942,3.57E-05,,0.174964,0.082775,0.193668,4.97E-05,,0.205760852,0.096087553,0.212680653,4.84E-05,,2.188888889,0.008579943,,,0.014444444,0.000961548,,,13,0.000207653,,,0.144438669,4.49E-05,,,0.228462219,7.34E-05
0.214955285,0.047676038,0.233408093,1.51E-05,,0.1651043,0.070497818,0.19624342,4.18E-05,,0.182445,0.082783,0.210502,5.83E-05,,0.208528772,0.096094757,0.218908474,5.66E-05,,2.272222222,0.010468983,,,0.015,-0.000961548,,,13.5,0.000211534,,,0.146655515,5.27E-05,,,0.242474824,8.59E-05
0.222336411,0.047678169,0.250015616,1.77E-05,,0.177559942,0.070504293,0.22426863,4.90E-05,,0.193668,0.082791,0.235754,6.83E-05,,0.212680653,0.096103109,0.228250206,6.63E-05,,2.355555556,0.010468983,,,0.015555556,0,,,14,0.00021533,,,0.149980769,6.18E-05,,,0.263493717,0.000100526
0.233408093,0.047680769,0.274926931,2.07E-05,,0.19624342,0.070510983,0.26630646,5.74E-05,,0.210502,0.082801,0.27363,8.01E-05,,0.218908474,0.096113406,0.24226281,7.77E-05,,2.438888889,0.01140381,,,0.016111111,-0.000938848,,,14.5,0.000219045,,,0.154968649,7.24E-05,,,0.29502207,0.00011776
